Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Constancia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,3.0,1.0,Nivel 1,1.0,2,-0.09803208603009139
Inscripción a cursos de Educación Continua UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,4320.0,1.0,1.0,Nivel 2,1.0,2,0.15022086774164836
Servicio de Diseño de Imagen Corporativa o Logotipo,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
Titulación UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,216000.0,6.0,0.0,Nivel 1,1.0,2,0.9398714679759399
Certificado Parcial de Estudios UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,7200.0,1.0,0.0,Nivel 3.9,1.0,0,-0.4757520419445024
Cursos de Verano (asignaturas) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,21600.0,1.0,0.0,Nivel 1,1.0,2,0.30870369603760256
Constancia de estudios o Constancia de estudios con calificaciones UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,1.0,0.0,Nivel 1,1.0,2,0.21729550070986337
Expedición de finiquito o Constancia de no adeudo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,20.0,3.0,1.0,Nivel 1,1.0,2,-0.11515379142272336
Inscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,5.0,0.0,Nivel 3.1,1.0,2,-0.10025848897478229
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,4.0,1.0,Nivel 1,1.0,2,0.09178635725661884
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,25.0,4.0,1.0,,1.0,2,0.16518553157362514
Servicio: Asesoría especializada en Acompañamiento y Desarrollo Empresarial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Constancia Escolar UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,2,-0.27426883558098747
Elaboración de Escrituras - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,40.0,4.0,1.0,Nivel 1,1.0,2,0.11310986777995764
Revalidación de Estudios de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,2880.0,3.0,1.0,Nivel 2,1.0,2,0.14505023152506644
Escuelas de Iniciación Técnico Deportivas del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,1.0,Nivel 2,1.0,2,-0.24039146020731111
Credencial Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,1.0,0.0,Nivel 1,1.0,2,0.06116187720455936
